20062,AAP KA AANA ,KURUKSHETRA ,ALKA, KUMAR SANU 
20063,AAP KI AANKHON MEIN KUCH ,GHAR ,LATA, KISHORE KUMAR 
20064,AAP KI INAAYATEN ,VANDANA ,LATA MANGESHKAR 
20065,AAP KI NAZARON NE SAMJHA ,ANPADH ,LATA MANGESHKAR 
20066,AAP MUJHE ACHHE ,JEENE KI RAAH ,LATA MANGESHKAR 
20067,AAP YAHAN AAYE KIS LIYE ,KAL AAJ AUR KAL ,KISHORE, ASHA 
20068,AAP YUN HI IAGAR ,EK MUSAFIR EK HASEENA ,ASHA BHOSLE, MOHD. RAFI 
20069,AAPKE HASEEN RUKH PE ,BAHAAREN FIR BHI AAYENGI ,MOHD. RAFI 
20070,AAPKE PEHLOON MEIN AAKAR RO DIYE ,MERA SAAYA ,MOHD. RAFI 
20071,AAPNE YAAD DILAAYA TO ,AARTI ,MOHD. RAFI,LATA MANGESHKAR 
20072,AAPSE PYAAR HUA ,AABROO ,ASHA BHOSLE 
20073,AASHAON KE SAAWAN MEIN ,AASHA ,MOHD. RAFI, LATA 
20074,AASHIQIE MEIN HAD SE ,THE GENTLEMAN ,VINOD RATHOD.SADHANA 
20075,AASMAAN SE AAYA FARISHTA ,AN EVENING IN PARIS ,MOHD. RAFI 
20076,AASMAN KE NEECHE ,JEWEL THIEF ,KISHORE, LATA 
20077,AATE JAATE HASTE GAATE ,MAINE PYAAR KIYA ,LATA MANGESHKAR & S.P.B. 
20078,AATE JAATE KHOOBSURAT AAWARA SADKON PE ,ANURODH ,KISHORE KUMAR 
20079,AAWAAZ DE KAHAAN HAI ,ANMOL GHADI ,NOOR JAHAAN & SURENDRA 
20080,AAWARAPAN BANJARAPAN ,JISM ,K.K. 
20081,AAYA SAAWAN JHOOM KE ,AAYA SAAWAN JHOOM KE ,MOHD. RAFI, LATA 
20082,AAYA SANAM AAYA DEEWANA ,BADE DILWALA ,KISHORE KUMAR 
20083,AAYE TUM YAAD MUJHE ,MILI ,KISHORE KUMAR 
20084,AAYEGA AAYEGA AANEWALA ,MEHAL ,LATA MANGESHKAR 
20085,AAYEGI AAYEGI AAYEGI ,JAANEMAN ,LATA MANGESHKAR 
20086,AAYI AAYI MAIN TO AAYI ,JAANI DOST ,KISHORE KUMAR,ASHA 
20087,AAYINA HAI MERA CHEHRA ,AAYINA ,ASHA BHOSLE, SURESH WADKAR 
20088,AAYIYE MEHERBAAN ,HOWRAH BRIDGE ,ASHA BHOSLE 
20089,AAZMAALE AAZMAALE ,TAXI NO. 9211 ,SHEKHAR RAVJIANI 
20090,AB CHAAHE MAA RUTHE ,DAAG(1973) ,LATA,KISHORE KUMAR 
20091,AB KE BARAS TUJHE ,KRANTI ,MAHENDRA KAPOOF 
20092,AB KE SAAWAN MEIN ,DIL\ L PYAAR VYAAR ,SADHNA SARGAM, BAABULS 
20093,AB KE SAJAN SAAVAN MEIN ,CHUPKE CHUPKE ,LATA MANGESHKAR 
20094,AB KYA MISAAL DUN ,AARTI ,MOHD. RAFI 
20095,AB TAK HAI PURI AZADI ,KUDRAT(1998) ,ABHIJEET.POORNIMA 
20096,AB TERE DIL MEIN HUM ,AARZ00(1999) ,KUMAR SANU,ALKA 
20097,AB TO HAIN TUM SE ,ABHIMAAN ,LATA MANGESHKAR 
20098,AB TO MUSKURAIYE ,RANU MUKHERJEE ,DO DOONI CHAR 
20099,ABHI NA JAO CHHOD KAR ,HUM DONO ,ASHA BHOSLE & MOHD.I RAFI 
20100,ABHI TO HUM HUE ,BULUNDI ,KISHORE KUMAR 
20101,ACHCHI LAGTI HO ,KUCHH NA KAHO ,UDIT NARAYAN, KAVITA K. 
20102,ACHHA JEE MAIN HAARI ,KALA PAANI ,MOHD.RAFI, ASHA 
20103,ACHHA TO HUM CHALTE HAIN ,AAN MILO SAJANA ,LATA, KISHORE KUMAR 
20104,AE CHAAND ZARA CHHUPJAA ,LAAT SAHEB ,ASHA,MOHD. RAFI 
20105,AE DIL MUJHE BATA DE ,BHAI BHAI ,GEETA DUTT 
20106,AE KAASH KISI DEEWANE KO ,AAYE DIN BAHAAR KE ,ASHA, LATA 
20107,AE KHUDA SHUKRA TERA ,RAZIA SULTAN ,MAHENDRA KAPOOR BHUPINDER 
20108,AE MALIK TERE ,DO AANKHEN BARAH HAATH ,LATA MANGESHKAR 
20109,AE MERE DIL KAHIN. AUR CHAL ,DAAG(1952) ,TALAT MEHMOOD 
20110,AE MERI JOHRAJABI ,WAQT(1965) ,MANNA DEY 
20111,AE MOHABBAT TERI DASTAN ,KARMA ,ANURADHA PAUDWAL 
20112,AE MOHABBAT ZINDABAD ,MUGHAL E AAZAM ,MOHD. RAFI 
20113,AE OH AA ZARA MUDKE ,DISCO DANCER ,KISHORE KUMAR 
20114,AE PHOOLON KI RAANI ,AARZ00 ,MOHD. RAFI 
20115,AE YAAR SUN YAARI TERI ,SUHAAG ,ASHA,RAFI,SHAILENDRA 
20116,AEY BHAAI ZARA ,MERA NAAM JOKER ,MANNA DEY 
20117,AEY NARGISE MASTANA ,AARZ00 ,MOHD. RAFI 
20118,AFSANA LIKH RAHI HOON ,DARD(1947) ,UMA DEVI 
20119,AGAR MUJHSE MOHABBAT ,AAP KI PARCHHAIYAAN ,LATA MANGESHKAR 
20120,AGAR TUM MIL JAO ,ZEHER ,SHREYA GHOSHAL 
20121,AISA LAGTA HAI ,REFUGEE ,ALKA,SONU NIGAM 
20122,AISI HASEEN CHAANDNI ,DARD(1981) ,KISHORE KUMAR 
20123,AISI RANG DE PIYA ,BABU ,LATA, KISHORE KUMAR 
20124,AJA PIYA TOHE PYAR DUN ,BAHARON KE SAPNE ,LATA MANGESHKAR 
20125,AJEEB DAASTAN HAI YEH ,DIL APNA AUR PREET PARAI ,LATA MANGESHKAR 
20126,AJI ROOTH KAR AB ,AARZ00 ,LATA MANGESHKAR 
20127,AKELA CHAL CHALA CHAL ,FAKIRA ,HEMLATA 
20128,AKELE AKELE KAHAAN JAA RAHE HO ,AN EVENING IN PARIS ,MOHD. RAFI 
20129,AKELE HAIN ,RAAZ ,LATA MANGESHKAR 
20130,AKELE HI AKELE ,GOPI ,LATA MANGESHKAR 
20131,AKHIYAN BHOOL GAYI HAI SONA ,GUNJ UTHI SHEHNAAY| ,GEETA ROY, LATA 
20132,ALLAH TERO NAAM ,HUM DONO ,LATA MANGESHKAR 
20133,AMIRON KI SHAAM ,NAAM ,MOHD. AZIZ 
20134,AN EVENING IN PARIS ,AN EVENING IN PARIS ,MOHD. RAFI 
20135,ANG SE ANG LAGANA ,DARR ,ALKA,SUDESH,VINOD 
20136,ANGREZI MEIN KEHTE HAI ,KHUDDAR ,LATA, KISHORE KUMAR 
20137,ANHKON MEIN TUM ,HALF TICKET ,GEETA DUTT, KISHORE KUMAR 
20138,ANKHIYAN MILA KE ,RATTAN ,ZOHRABAI LAMBALAWALI 
20139,ANKHIYON KE JHAROKON SE ,ANKHIYON KE JHAROKON SE ,HEMLATA 
20140,ANKHIYON KO RAHNE DE ,BOBBY ,LATA MANGESHKAR 
20141,ANKHON HI ANKHON MEIN ,C.I.D. ,GEETA DUTT, MOHD. RAFI 
20142,APKE ANURODH PE ,ANURODH ,KISHORE KUMAR 
20143,APLAM CHAPLAM CHAPALAA RE ,AAZAD ,USHA MANGESHKAR 
20144,APNA JEEVAN RAIL KI ,LOVE MARRIAGE(1984) ,SHABBIR,ANURADHA 
20145,APNI AANKHON KE ,POLICE AUR MUJRIM ,MOHD. AZIZ,SADHANA 
20146,APNIAAZADI KO HUM ,JAAGRUTI ,MOHD. RAFI 
20147,APNIAPNI BIWI PE ,DO RAASTE ,LATA MANGESHKAR 
20148,APNI SANTOSHI MAA ,JAI SANTOSHI MAA ,MAHENDRA KAPOOR 
20149,APRIL FOOL BANAYA ,APRIL FOOL ,MOHD. RAFI 
20150,ARE HAAY HAAY YEH MAZBOORI ,ROTI KAPDA AUR MAKAAN ,LATA MANGESHKAR 
20151,ARE JAANE KAISE KAB ,SHAKTI ,LATA,KISHORE KUMAR 
20152,ARE KAR LE JO BHI ,DHOOL KA PHOOL ,MAHENDRA KAPOOR 
20153,ARE NANANANA ,AAR PAAR ,GEETA DUTT, MOHD. RAFI 
20154,ARE SASU TEERATH ,SAUTAN ,KISHORE KUMAR 
20155,ARE SUN BHAI SAADHO ,JAANI DUSHMAN ,ASHA,MAHENDRA,KISHOR 
20156,ASSA HUN TUR JANAYE ,ARPAN ,LATA JI SURESH WADKAR 
20157,AUR IS DIL MEIN ,IMAANDAR ,SURESH WADEKAR,ASHA BHOSLE 
20158,AUR NAHEE BAS AUR NAHI ,ROTI KAPDA AUR MAKAAN ,MAHENDRA KAPOOR 
20159,AWAARA BHANWRE ,SAPNAY ,HEMA,MALAYSIA 
